report_run_id,report_date,rank,risk_id,cluster_id,event_type,primary_asset_or_service,title,risk_category,business_function,score_used,likelihood_used,impact_used,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,1,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000069,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 1 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana"
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,2,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000074,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2025-10-13 to 2025-10-13 across 1 source(s). Representative sources: Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,3,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000088,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,4,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000128,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-12-11 to 2025-12-11 across 1 source(s). Representative sources: Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber"
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,5,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000145,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-01-14 to 2026-01-14 across 1 source(s). Representative sources: The Blast Radius Problem: What the 2025 AWS Outage Reveals About Healthcare’s Cloud Fragility - MedCity News
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,6,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000149,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,15,3,5,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-01-16 to 2026-01-16 across 1 source(s). Representative sources: Ransomware Attacks and Supply Chain Threats in 2025 - Cyble
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,7,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000154,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,15,3,5,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2026-01-20 to 2026-01-20 across 1 source(s). Representative sources: Verizon outage: Analysts and more weigh in - Fierce Network
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,8,RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000162,OUTAGE_IDENTITY,login,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,15,3,5,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting login in Identity & Access Management. Evidence window: 2026-01-31 to 2026-01-31 across 1 source(s). Representative sources: ING Online Banking Outage: January 31 Login Issues Hit German Users - Meyka
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,9,RISK-OUTAGE_IDENTITY-IDENTITY-18AA8247,CL-000164,OUTAGE_IDENTITY,identity,Centralized identity/SSO outage disrupts workforce access,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting identity in Cloud Infrastructure. Evidence window: 2026-02-04 to 2026-02-04 across 1 source(s). Representative sources: Azure outage disrupts VMs and identity services for over 10 hours - Network World
ed4118ed-39da-4b99-9aa3-a7777098f962,2026-03-23,10,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000198,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,15,3,5,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-03-03 to 2026-03-03 across 1 source(s). Representative sources: AWS Middle East outage: a reminder not to rely on cloud as disaster recovery plan - Network World
